ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
TAG,13/01/2015,7.8,28.8,92,55,10.14,4.9,87,40.2,0.87,3.62,6.76,1.9,6100,0.009,7.53,98,4,1.1
TAG,10/02/2015,7.95,28.9,107,56,10.98,5.2,130,44.3,0.98,4.09,6.98,2.8,99,0.009,8.18,106,4.2,1
TAG,12/03/2015,8.07,28.8,90,56,10.39,47,130,43.3,0.47,4.21,6.59,6,480,0.009,8.26,107,2.9,1.3
TAG,09/04/2015,8.14,29.4,102,59,11.39,5.2,113,48.4,0.65,4.85,7.49,7.1,9600,0.009,8.49,111,2.5,1.8
TAG,13/05/2015,7.26,29.4,93,61,10.99,5.8,114,46.1,1.24,4.53,7.57,10.5,410,0.009,8.16,108,20,2.4
TAG,10/06/2015,8.02,29.1,93,56,11.3,6.1,122,46.1,0.5,4.33,7.55,12.8,990,0.009,7.93,103,1.5,2
TAG,07/07/2015,8.68,31,88,54,11.31,6.5,129,47.6,1.03,3.88,7.65,8.9,120,0.009,8.14,111,1.3,2.2
TAG,12/08/2015,8.66,30.8,77,50,10.05,6.1,116,41.5,0.82,4,7.33,7.8,190,0.009,8.83,119,2.5,1.9
TAG,08/09/2015,8.32,27.8,86,46,9.46,6.5,116,39.4,0.86,3.82,7.73,8.9,2000,0.009,8.53,113,1,1.8
TAG,14/10/2015,8.24,29.6,91,48,9.9,6,117,40.1,1.3,3.73,7.14,5.3,2800,0.009,8.34,110,2.3,1.5
TAG,12/11/2015,8.7,29.6,67,45,10.81,5.7,114,41.6,1.02,3.55,6.88,8.5,2100,0.009,8.54,115,2,2.2
TAG,10/12/2015,8.33,30,87,49,7.99,5.5,119,32.7,1.04,3.1,7.07,4.3,11000,0.009,7.98,105,2,1.2
DHC,13/01/2015,7.73,28.4,92,54,11.04,6.1,88,44,0.63,3.98,6.92,2,14000,0.009,7.54,97,3,1.4
DHC,10/02/2015,7.81,28.6,99,57,11.02,5.5,130,45.8,0.93,4.34,7.33,2,6100,0.009,7.26,94,3.3,2.1
DHC,12/03/2015,7.51,28.3,91,55,9.37,5.6,128,41.3,0.35,4.34,7.4,3.6,2900,0.009,6.85,88,2.7,1.7
DHC,09/04/2015,7.2,28.8,86,43,6.35,6.5,96,37.4,0.45,5.24,8.66,5.7,6700,0.009,6.49,84,1,5.4
DHC,13/05/2015,7.32,29.8,83,51,9.19,6.3,132,40.8,0.81,4.33,8.07,6.1,18000,0.009,6.3,82,0.5,29.8
DHC,10/06/2015,8.04,28.9,79,53,10.27,6.4,111,41.7,0.82,3.89,7.71,14,3000,0.009,8.58,112,1,4.9
DHC,07/07/2015,7.63,30.2,85,50,9.01,6.3,121,41.1,0.66,3.86,7.58,8.1,680,0.009,6.72,89,1.3,5.3
DHC,12/08/2015,7.81,30.1,84,48,9.04,6.1,113,38.8,0.9,3.91,7.48,6.8,960,0.011,7.66,102,1.5,4.6
DHC,08/09/2015,8.2,29.1,85,45,8.27,6.1,106,35.4,0.6,3.57,7.34,12.3,6900,0.015,8.89,119,0.1,21.5
DHC,14/10/2015,7.99,30.1,77,50,9.73,6,119,40,1.04,3.81,7.54,4.9,590,0.009,7.84,104,2.3,2
DHC,12/11/2015,8.54,29.7,73,52,11.12,5.5,115,42.9,1.01,3.68,6.83,9.7,1600,0.009,8.47,113,2.5,2.2
DHC,10/12/2015,7.74,29.8,87,54,9.24,5.3,124,36.2,1.24,3.2,7.36,3.4,29000,0.009,6.89,91,2,1.6
TAG,13/01/2016,7.64,29.5,82,53,9,5.5,128,37.6,1.19,3.69,7.12,4.4,4400,0.009,7.55,99,3.5,0.9
TAG,11/02/2016,7.75,28.6,82,54,9.92,5.8,103,39,1.23,3.45,6.8,4.3,9800,0.009,7.99,103,2.5,1
TAG,09/03/2016,8.34,29,85,56,10.12,5.5,129,43.9,1.28,3.78,7.33,4.2,190,0.009,8.99,117,2.3,1.5
