ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
TAG,2019-01-15,7.57,28.3,84.0,49.0,10.27,4.8,124.0,43.6,1.21,4.36,6.51,7.4,310.0,0.026,7.82,101.0,2.5,1.0
TAG,2019-02-12,8.1,27.8,106.0,51.0,12.37,5.2,133.0,48.2,0.6,4.2,6.51,10.5,480.0,0.011,8.01,102.0,2.4,1.3
TAG,2019-03-12,7.68,28.4,87.0,52.0,11.13,4.7,138.0,44.2,0.73,3.97,7.12,11.0,160.0,0.014,7.49,98.0,2.5,1.0
TAG,2019-04-09,8.19,29.3,100.0,54.0,10.67,6.0,140.0,39.8,1.83,3.2,7.24,6.8,200.0,0.015,7.95,105.0,2.5,1.0
TAG,2019-05-14,8.31,30.3,91.0,59.0,10.63,5.4,140.0,42.5,0.55,3.88,7.61,16.8,220.0,0.015,7.67,103.0,1.5,1.3
TAG,2019-06-11,8.63,30.0,105.0,57.0,11.4,6.5,143.0,46.6,0.23,4.41,8.02,11.9,280.0,0.028,9.2,124.0,1.5,1.7
TAG,2019-07-09,8.57,29.6,116.0,54.0,11.04,6.0,141.0,45.1,0.61,4.26,7.12,20.7,2900.0,0.027,9.23,120.0,1.2,2.2
TAG,2019-08-07,8.54,29.5,123.0,53.0,11.65,5.0,137.0,51.1,0.22,5.34,6.89,17.4,2900.0,0.026,9.14,121.0,1.1,2.4
TAG,2019-09-10,8.11,29.0,87.0,48.0,9.57,6.0,130.0,39.7,0.64,3.83,6.89,13.0,10000.0,0.028,8.07,105.0,2.0,1.8
TAG,2019-10-15,7.31,29.3,90.0,51.0,9.64,5.9,127.0,38.8,0.71,3.58,6.79,9.6,2400.0,0.021,7.14,93.0,1.7,1.1
TAG,2019-11-13,7.44,26.0,93.0,52.0,9.09,5.2,138.0,36.6,0.73,3.38,6.63,9.8,6900.0,0.117,8.13,100.0,2.5,1.2
TAG,2019-12-10,7.82,29.8,86.0,57.0,9.47,5.1,134.0,38.1,0.69,3.5,6.39,12.0,1500.0,0.048,7.69,103.0,2.8,1.1
DCH,2019-01-15,7.37,27.9,96.0,49.0,16.13,5.0,123.0,59.4,1.36,4.65,6.75,6.8,1300.0,0.026,7.07,91.0,2.0,1.3
DCH,2019-02-12,7.69,27.2,102.0,50.0,10.27,5.9,132.0,39.7,0.5,3.42,7.0,7.1,1100.0,0.017,7.16,91.0,2.5,1.8
DCH,2019-03-12,7.13,27.8,95.0,47.0,9.1,5.4,127.0,42.7,0.58,4.86,8.11,9.4,2900.0,0.024,6.69,86.0,1.5,2.8
DCH,2019-04-09,7.03,29.2,86.0,45.0,6.77,7.1,126.0,32.6,1.6,3.8,8.23,5.8,1100.0,0.028,5.52,73.0,1.0,4.1
DCH,2019-05-14,7.67,30.1,97.0,57.0,10.23,5.7,134.0,41.1,0.52,3.79,7.58,15.4,1900.0,0.027,7.01,93.0,0.5,1.8
