ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
TAG,2015/01,7.8,28.8,92.0,55.0,10.14,4.9,87.0,40.2,0.87,3.62,6.76,1.9,6100.0,0.009,7.53,98.0,4.0,1.1
TAG,2015/02,7.95,28.9,107.0,56.0,10.98,5.2,130.0,44.3,0.98,4.09,6.98,2.8,99.0,0.009,8.18,106.0,4.2,1.0
TAG,2015/03,8.07,28.8,90.0,56.0,10.39,47.0,130.0,43.3,0.47,4.21,6.59,6.0,480.0,0.009,8.26,107.0,2.9,1.3
TAG,2015/04,8.14,29.4,102.0,59.0,11.39,5.2,113.0,48.4,0.65,4.85,7.49,7.1,9600.0,0.009,8.49,111.0,2.5,1.8
TAG,2015/05,7.26,29.4,93.0,61.0,10.99,5.8,114.0,46.1,1.24,4.53,7.57,10.5,410.0,0.009,8.16,108.0,20.0,2.4
TAG,2015/06,8.02,29.1,93.0,56.0,11.3,6.1,122.0,46.1,0.5,4.33,7.55,12.8,990.0,0.009,7.93,103.0,1.5,2.0
TAG,2015/07,8.68,31.0,88.0,54.0,11.31,6.5,129.0,47.6,1.03,3.88,7.65,8.9,120.0,0.009,8.14,111.0,1.3,2.2
TAG,2015/08,8.66,30.8,77.0,50.0,10.05,6.1,116.0,41.5,0.82,4.0,7.33,7.8,190.0,0.009,8.83,119.0,2.5,1.9
TAG,2015/09,8.32,27.8,86.0,46.0,9.46,6.5,116.0,39.4,0.86,3.82,7.73,8.9,2000.0,0.009,8.53,113.0,1.0,1.8
TAG,2015/10,8.24,29.6,91.0,48.0,9.9,6.0,117.0,40.1,1.3,3.73,7.14,5.3,2800.0,0.009,8.34,110.0,2.3,1.5
TAG,2015/11,8.7,29.6,67.0,45.0,10.81,5.7,114.0,41.6,1.02,3.55,6.88,8.5,2100.0,0.009,8.54,115.0,2.0,2.2
TAG,2015/12,8.33,30.0,87.0,49.0,7.99,5.5,119.0,32.7,1.04,3.1,7.07,4.3,11000.0,0.009,7.98,105.0,2.0,1.2
TAG,2016/01,7.64,29.5,82.0,53.0,9.0,5.5,128.0,37.6,1.19,3.69,7.12,4.4,4400.0,0.009,7.55,99.0,3.5,0.9
